City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pedasi,7.5333,-80.0333,298.19,84,100,1.77,PA,1667464145
84,atuona,-9.8,-139.0333,297.94,80,9,5.18,PF,1667463936
85,lata,40.1629,-8.3327,287.08,96,100,2.4,PT,1667464146
86,williams lake,52.1415,-122.1445,265.91,91,75,3.6,CA,1667464147
87,lebu,-37.6167,-73.65,284.26,94,3,0.53,CL,1667463954
88,port elizabeth,-33.918,25.5701,297.65,80,20,4.12,ZA,1667463920
89,georgetown,5.4112,100.3354,303.12,80,40,3.09,MY,1667463923
90,upernavik,72.7868,-56.1549,263.38,53,17,2.65,GL,1667464149
91,gejiu,23.306,103.1635,290.95,44,7,1.92,CN,1667464150
92,brockville,44.5834,-75.6826,278.79,95,30,0.89,CA,1667464150
93,yuzhnyy,53.2542,83.6936,276.36,100,75,3.0,RU,1667464151
94,glencoe,-28.1783,30.147,296.82,47,45,3.48,ZA,1667464151
95,chicama,-7.8447,-79.1469,287.45,86,97,1.6,PE,1667464152
96,palana,59.1167,159.9667,263.95,70,83,3.4,RU,1667464152
97,mount gambier,-37.8333,140.7667,285.56,71,32,3.0,AU,1667464153
98,datong,40.0936,113.2914,279.23,15,0,3.39,CN,1667464121
99,havoysund,70.9963,24.6622,277.28,86,25,3.43,NO,1667464155
100,quzhou,28.9594,118.8686,289.99,83,100,1.72,CN,1667464155
101,kisanga,-7.4362,37.7034,303.85,44,30,3.17,TZ,1667464156
102,butaritari,3.0707,172.7902,300.74,64,19,5.31,KI,1667463952
103,neiafu,-18.65,-173.9833,298.65,86,100,10.48,TO,1667464157
104,avdon,54.6667,55.7167,275.77,64,0,2.0,RU,1667464157
105,kolondieba,11.0882,-6.8926,297.47,32,4,2.63,ML,1667464158
106,faanui,-16.4833,-151.75,297.31,86,99,6.77,PF,1667464158
107,kodiak,57.79,-152.4072,275.88,65,75,4.12,US,1667463658
108,palmer,42.1584,-72.3287,281.86,100,0,0.0,US,1667464159
109,petropavlovsk-kamchatskiy,53.0452,158.6483,273.48,100,100,5.0,RU,1667464160
110,hualmay,-11.0964,-77.6139,289.55,87,98,2.34,PE,1667464160
111,omboue,-1.5746,9.2618,297.91,87,100,1.86,GA,1667464017
112,tual,-5.6667,132.75,300.77,74,100,3.2,ID,1667464161
113,channel-port aux basques,47.5702,-59.1367,277.21,56,78,14.08,CA,1667464162
114,sumbe,-11.2061,13.8437,298.94,80,89,2.05,AO,1667464163
115,hilo,19.7297,-155.09,298.29,96,100,6.69,US,1667463951
116,jamestown,42.097,-79.2353,280.95,95,0,2.06,US,1667463935
117,durango,24.8333,-104.8333,285.2,41,11,2.89,MX,1667464164
118,maler kotla,30.5167,75.8833,303.74,21,39,3.64,IN,1667464164
119,tuktoyaktuk,69.4541,-133.0374,257.96,89,71,8.24,CA,1667464020
120,haines junction,60.7522,-137.5108,270.12,93,100,1.54,CA,1667464165
